Date,Ozone AQI Value
1/1/80,19
1/2/80,16
1/3/80,19
1/4/80,17
1/5/80,23
1/6/80,23
1/7/80,17
1/8/80,16
1/9/80,7
1/10/80,14
1/11/80,23
1/12/80,23
1/13/80,21
1/14/80,23
1/15/80,22
1/16/80,18
1/17/80,15
1/18/80,5
1/19/80,19
1/20/80,24
1/21/80,20
1/22/80,10
1/23/80,21
1/24/80,21
1/25/80,11
1/26/80,22
1/27/80,22
1/28/80,19
1/29/80,20
1/30/80,28
1/31/80,31
2/1/80,31
2/2/80,29
2/3/80,28
2/4/80,19
2/5/80,28
2/6/80,20
2/7/80,31
2/8/80,23
2/9/80,23
2/10/80,28
2/11/80,30
2/12/80,28
2/13/80,28
2/14/80,23
2/15/80,23
2/16/80,25
2/17/80,30
2/18/80,22
2/19/80,23
2/20/80,30
2/21/80,21
2/22/80,26
2/23/80,18
2/24/80,14
2/25/80,20
2/26/80,28
2/27/80,30
2/28/80,28
2/29/80,24
3/1/80,31
3/2/80,31
3/3/80,31
3/4/80,26
3/5/80,26
3/6/80,32
3/7/80,26
3/8/80,32
3/9/80,40
3/10/80,44
3/11/80,31
3/12/80,33
3/13/80,31
3/14/80,35
3/15/80,36
3/16/80,32
3/17/80,33
3/18/80,32
3/19/80,42
3/20/80,209
3/21/80,37
3/22/80,37
3/23/80,40
3/24/80,41
3/25/80,42
3/26/80,35
3/27/80,45
3/28/80,34
3/29/80,32
3/30/80,38
3/31/80,35
4/1/80,49
4/2/80,29
4/3/80,77
4/4/80,61
4/5/80,49
4/6/80,105
4/7/80,77
4/8/80,44
4/9/80,42
4/10/80,61
4/11/80,54
4/12/80,80
4/13/80,84
4/14/80,35
4/15/80,71
4/16/80,38
4/17/80,44
4/18/80,47
4/19/80,84
4/20/80,119
4/21/80,115
4/22/80,71
4/23/80,46
4/24/80,161
4/25/80,126
4/26/80,67
4/27/80,100
4/28/80,45
4/29/80,35
4/30/80,34
5/1/80,84
5/2/80,54
5/3/80,67
5/4/80,51
5/5/80,90
5/6/80,108
5/7/80,105
5/8/80,35
5/9/80,40
5/10/80,108
5/11/80,51
5/12/80,40
5/13/80,54
5/14/80,87
5/15/80,58
5/16/80,51
5/17/80,150
5/18/80,140
5/19/80,90
5/20/80,129
5/21/80,44
5/22/80,133
5/23/80,164
5/24/80,222
5/25/80,77
5/26/80,54
5/27/80,49
5/28/80,67
5/29/80,143
5/30/80,84
5/31/80,101
6/1/80,126
6/2/80,54
6/3/80,74
6/4/80,49
6/5/80,54
6/6/80,174
6/7/80,100
6/8/80,44
6/9/80,45
6/10/80,184
6/11/80,74
6/12/80,54
6/13/80,224
6/14/80,235
6/15/80,219
6/16/80,61
6/17/80,108
6/18/80,214
6/19/80,201
6/20/80,38
6/21/80,105
6/22/80,147
6/23/80,220
6/24/80,230
6/25/80,212
6/26/80,119
6/27/80,206
6/28/80,172
6/29/80,166
6/30/80,58
7/1/80,154
7/2/80,192
7/3/80,51
7/4/80,201
7/5/80,227
7/6/80,46
7/7/80,50
7/8/80,67
7/9/80,204
7/10/80,217
7/11/80,205
7/12/80,87
7/13/80,129
7/14/80,216
7/15/80,216
7/16/80,219
7/17/80,216
7/18/80,217
7/19/80,220
7/20/80,278
7/21/80,266
7/22/80,228
7/23/80,105
7/24/80,87
7/25/80,185
7/26/80,233
7/27/80,172
7/28/80,93
7/29/80,46
7/30/80,213
7/31/80,232
8/1/80,206
8/2/80,205
8/3/80,187
8/4/80,224
8/5/80,210
8/6/80,219
8/7/80,215
8/8/80,223
8/9/80,156
8/10/80,147
8/11/80,205
8/12/80,74
8/13/80,80
8/14/80,208
8/15/80,84
8/16/80,30
8/17/80,67
8/18/80,44
8/19/80,164
8/20/80,74
8/21/80,41
8/22/80,46
8/23/80,90
8/24/80,192
8/25/80,205
8/26/80,260
8/27/80,222
8/28/80,238
8/29/80,112
8/30/80,201
8/31/80,140
9/1/80,190
9/2/80,201
9/3/80,115
9/4/80,195
9/5/80,147
9/6/80,190
9/7/80,133
9/8/80,42
9/9/80,182
9/10/80,43
9/11/80,93
9/12/80,182
9/13/80,208
9/14/80,87
9/15/80,31
9/16/80,32
9/17/80,33
9/18/80,37
9/19/80,87
9/20/80,177
9/21/80,192
9/22/80,200
9/23/80,151
9/24/80,42
9/25/80,18
9/26/80,35
9/27/80,35
9/28/80,37
9/29/80,26
9/30/80,49
10/1/80,41
10/2/80,33
10/3/80,18
10/4/80,33
10/5/80,31
10/6/80,29
10/7/80,32
10/8/80,77
10/9/80,35
10/10/80,36
10/11/80,43
10/12/80,17
10/13/80,26
10/14/80,30
10/15/80,15
10/16/80,71
10/17/80,71
10/18/80,32
10/19/80,28
10/20/80,31
10/21/80,7
10/22/80,30
10/23/80,32
10/24/80,33
10/25/80,31
10/26/80,20
10/27/80,32
10/28/80,27
10/29/80,31
10/30/80,46
10/31/80,49
11/1/80,22
11/2/80,31
11/3/80,28
11/4/80,28
11/5/80,18
11/6/80,23
11/7/80,42
11/8/80,25
11/9/80,14
11/10/80,29
11/11/80,31
11/12/80,32
11/13/80,29
11/14/80,33
11/15/80,26
11/16/80,31
11/17/80,20
11/18/80,23
11/19/80,20
11/20/80,13
11/21/80,10
11/22/80,26
11/23/80,9
11/24/80,16
11/25/80,16
11/26/80,25
11/27/80,20
11/28/80,25
11/29/80,19
11/30/80,17
12/1/80,14
12/2/80,41
12/3/80,20
12/4/80,20
12/5/80,19
12/6/80,19
12/7/80,17
12/8/80,11
12/9/80,17
12/10/80,13
12/11/80,20
12/12/80,11
12/13/80,19
12/14/80,27
12/15/80,20
12/16/80,14
12/17/80,14
12/18/80,3
12/19/80,30
12/20/80,21
12/21/80,19
12/22/80,16
12/23/80,4
12/24/80,27
12/25/80,28
12/26/80,10
12/27/80,13
12/28/80,19
12/29/80,19
12/30/80,19
12/31/80,27
1/1/81,17
1/2/81,28
1/3/81,19
1/4/81,25
1/5/81,26
1/6/81,13
1/7/81,22
1/8/81,26
1/9/81,10
1/10/81,27
1/11/81,26
1/12/81,20
1/13/81,21
1/14/81,7
1/15/81,8
1/16/81,15
1/17/81,28
1/18/81,25
1/19/81,26
1/20/81,30
1/21/81,28
1/22/81,19
1/23/81,28
1/24/81,31
1/25/81,34
1/26/81,23
1/27/81,21
1/28/81,21
1/29/81,31
1/30/81,30
1/31/81,26
2/1/81,32
2/2/81,34
2/3/81,29
2/4/81,38
2/5/81,46
2/6/81,20
2/7/81,24
2/8/81,27
2/9/81,26
2/10/81,35
2/11/81,33
2/12/81,31
2/13/81,21
2/14/81,27
2/15/81,29
2/16/81,43
2/17/81,24
2/18/81,32
2/19/81,28
2/20/81,28
2/21/81,32
2/22/81,33
2/23/81,24
2/24/81,29
2/25/81,29
2/26/81,27
2/27/81,32
2/28/81,22
3/1/81,35
3/2/81,27
3/3/81,32
3/4/81,26
3/5/81,32
3/6/81,54
3/7/81,30
3/8/81,30
3/9/81,33
3/10/81,31
3/11/81,24
3/12/81,39
3/13/81,41
3/14/81,50
3/15/81,154
3/16/81,37
3/17/81,49
3/18/81,49
3/19/81,31
3/20/81,31
3/21/81,40
3/22/81,43
3/23/81,33
3/24/81,44
3/25/81,40
3/26/81,46
3/27/81,42
3/28/81,48
3/29/81,133
3/30/81,42
3/31/81,48
4/1/81,61
4/2/81,41
4/3/81,84
4/4/81,87
4/5/81,43
4/6/81,37
4/7/81,45
4/8/81,108
4/9/81,26
4/10/81,48
4/11/81,43
4/12/81,32
4/13/81,33
4/14/81,32
4/15/81,39
4/16/81,44
4/17/81,31
4/18/81,47
4/19/81,50
4/20/81,37
4/21/81,39
4/22/81,49
4/23/81,30
4/24/81,36
4/25/81,26
4/26/81,42
4/27/81,48
4/28/81,54
4/29/81,61
4/30/81,38
5/1/81,77
5/2/81,41
5/3/81,47
5/4/81,49
5/5/81,43
5/6/81,49
5/7/81,44
5/8/81,77
5/9/81,49
5/10/81,39
5/11/81,42
5/12/81,37
5/13/81,64
5/14/81,195
5/15/81,61
5/16/81,46
5/17/81,77
5/18/81,51
5/19/81,40
5/20/81,93
5/21/81,140
5/22/81,108
5/23/81,54
5/24/81,67
5/25/81,219
5/26/81,202
5/27/81,159
5/28/81,47
5/29/81,40
5/30/81,185
5/31/81,48
6/1/81,77
6/2/81,37
6/3/81,40
6/4/81,101
6/5/81,112
6/6/81,77
6/7/81,43
6/8/81,166
6/9/81,54
6/10/81,35
6/11/81,44
6/12/81,182
6/13/81,209
6/14/81,84
6/15/81,201
6/16/81,197
6/17/81,80
6/18/81,205
6/19/81,200
6/20/81,101
6/21/81,204
6/22/81,147
6/23/81,47
6/24/81,166
6/25/81,133
6/26/81,34
6/27/81,45
6/28/81,108
6/29/81,204
6/30/81,106
7/1/81,43
7/2/81,159
7/3/81,119
7/4/81,45
7/5/81,126
7/6/81,169
7/7/81,143
7/8/81,209
7/9/81,203
7/10/81,210
7/11/81,182
7/12/81,215
7/13/81,215
7/14/81,41
7/15/81,109
7/16/81,93
7/17/81,172
7/18/81,197
7/19/81,279
7/20/81,126
7/21/81,133
7/22/81,43
7/23/81,150
7/24/81,177
7/25/81,112
7/26/81,43
7/27/81,50
7/28/81,49
7/29/81,64
7/30/81,84
7/31/81,169
8/1/81,197
8/2/81,214
8/3/81,97
8/4/81,216
8/5/81,93
8/6/81,44
8/7/81,172
8/8/81,133
8/9/81,204
8/10/81,216
8/11/81,213
8/12/81,30
8/13/81,45
8/14/81,190
8/15/81,136
8/16/81,67
8/17/81,40
8/18/81,150
8/19/81,159
8/20/81,64
8/21/81,136
8/22/81,43
8/23/81,169
8/24/81,122
8/25/81,51
8/26/81,115
8/27/81,179
8/28/81,80
8/29/81,154
8/30/81,38
8/31/81,36
9/1/81,35
9/2/81,35
9/3/81,39
9/4/81,31
9/5/81,129
9/6/81,159
9/7/81,108
9/8/81,43
9/9/81,40
9/10/81,74
9/11/81,122
9/12/81,161
9/13/81,119
9/14/81,192
9/15/81,36
9/16/81,28
9/17/81,22
9/18/81,26
9/19/81,37
9/20/81,36
9/21/81,61
9/22/81,150
9/23/81,39
9/24/81,27
9/25/81,41
9/26/81,67
9/27/81,209
9/28/81,31
9/29/81,33
9/30/81,31
10/1/81,17
10/2/81,19
10/3/81,16
10/4/81,31
10/5/81,29
10/6/81,28
10/7/81,22
10/8/81,19
10/9/81,21
10/10/81,30
10/11/81,33
10/12/81,31
10/13/81,37
10/14/81,44
10/15/81,36
10/16/81,28
10/17/81,31
10/18/81,40
10/19/81,23
10/20/81,29
10/21/81,41
10/22/81,44
10/23/81,29
10/24/81,27
10/25/81,33
10/26/81,26
10/27/81,23
10/28/81,25
10/29/81,19
10/30/81,26
10/31/81,23
11/1/81,25
11/2/81,45
11/3/81,31
11/4/81,30
11/5/81,35
11/6/81,31
11/7/81,27
11/8/81,31
11/9/81,24
11/10/81,15
11/11/81,17
11/12/81,31
11/13/81,27
11/14/81,34
11/15/81,35
11/16/81,16
11/17/81,18
11/18/81,28
11/19/81,23
11/20/81,13
11/21/81,29
11/22/81,30
11/23/81,23
11/24/81,23
11/25/81,31
11/26/81,28
11/27/81,24
11/28/81,30
11/29/81,30
11/30/81,28
12/1/81,27
12/2/81,23
12/3/81,14
12/4/81,4
12/5/81,22
12/6/81,29
12/7/81,22
12/8/81,22
12/9/81,26
12/10/81,26
12/11/81,22
12/12/81,24
12/13/81,20
12/14/81,5
12/15/81,17
12/16/81,26
12/17/81,13
12/18/81,20
12/19/81,25
12/20/81,30
12/21/81,21
12/22/81,20
12/23/81,14
12/24/81,13
12/25/81,13
12/26/81,10
12/27/81,10
12/28/81,14
12/29/81,24
12/30/81,21
12/31/81,17
1/1/82,30
1/2/82,29
1/3/82,16
1/4/82,22
1/5/82,30
1/6/82,13
1/7/82,28
1/8/82,26
1/9/82,23
1/10/82,25
1/11/82,29
1/12/82,27
1/13/82,17
1/14/82,19
1/15/82,23
1/16/82,24
1/17/82,27
1/18/82,18
1/19/82,17
1/20/82,27
1/21/82,26
1/22/82,25
1/23/82,20
1/24/82,25
1/25/82,23
1/26/82,23
1/27/82,31
1/28/82,19
1/29/82,28
1/30/82,24
1/31/82,21
2/1/82,31
2/2/82,24
2/3/82,21
2/4/82,28
2/5/82,22
2/6/82,24
2/7/82,27
2/8/82,29
2/9/82,29
2/10/82,34
2/11/82,25
2/12/82,35
2/13/82,33
2/14/82,33
2/15/82,36
2/16/82,42
2/17/82,27
2/18/82,30
2/19/82,27
2/20/82,32
2/21/82,31
2/22/82,33
2/23/82,27
2/24/82,31
2/25/82,34
2/26/82,34
2/27/82,40
2/28/82,50
3/1/82,40
3/2/82,37
3/3/82,34
3/4/82,29
3/5/82,36
3/6/82,35
3/7/82,45
3/8/82,44
3/9/82,37
3/10/82,50
3/11/82,29
3/12/82,40
3/13/82,37
3/14/82,44
3/15/82,37
3/16/82,31
3/17/82,29
3/18/82,38
3/19/82,38
3/20/82,51
3/21/82,51
3/22/82,38
3/23/82,38
3/24/82,51
3/25/82,44
3/26/82,42
3/27/82,39
3/28/82,41
3/29/82,43
3/30/82,54
3/31/82,39
4/1/82,44
4/2/82,38
4/3/82,44
4/4/82,36
4/5/82,46
4/6/82,35
4/7/82,40
4/8/82,45
4/9/82,36
4/10/82,74
4/11/82,48
4/12/82,50
4/13/82,46
4/14/82,44
4/15/82,54
4/16/82,100
4/17/82,71
4/18/82,87
4/19/82,77
4/20/82,122
4/21/82,64
4/22/82,77
4/23/82,97
4/24/82,187
4/25/82,203
4/26/82,84
4/27/82,80
4/28/82,43
4/29/82,67
4/30/82,100
5/1/82,164
5/2/82,177
5/3/82,105
5/4/82,108
5/5/82,136
5/6/82,182
5/7/82,122
5/8/82,51
5/9/82,48
5/10/82,49
5/11/82,84
5/12/82,100
5/13/82,108
5/14/82,67
5/15/82,206
5/16/82,240
5/17/82,190
5/18/82,129
5/19/82,133
5/20/82,112
5/21/82,44
5/22/82,46
5/23/82,54
5/24/82,35
5/25/82,74
5/26/82,190
5/27/82,226
5/28/82,119
5/29/82,51
5/30/82,140
5/31/82,93
6/1/82,38
6/2/82,46
6/3/82,90
6/4/82,136
6/5/82,37
6/6/82,39
6/7/82,37
6/8/82,48
6/9/82,166
6/10/82,115
6/11/82,36
6/12/82,38
6/13/82,30
6/14/82,44
6/15/82,187
6/16/82,177
6/17/82,48
6/18/82,223
6/19/82,112
6/20/82,44
6/21/82,90
6/22/82,156
6/23/82,43
6/24/82,41
6/25/82,177
6/26/82,221
6/27/82,200
6/28/82,172
6/29/82,42
6/30/82,46
7/1/82,36
7/2/82,80
7/3/82,48
7/4/82,46
7/5/82,150
7/6/82,133
7/7/82,187
7/8/82,177
7/9/82,174
7/10/82,223
7/11/82,159
7/12/82,101
7/13/82,150
7/14/82,244
7/15/82,248
7/16/82,246
7/17/82,219
7/18/82,208
7/19/82,172
7/20/82,47
7/21/82,50
7/22/82,129
7/23/82,100
7/24/82,112
7/25/82,223
7/26/82,190
7/27/82,156
7/28/82,105
7/29/82,41
7/30/82,54
7/31/82,190
8/1/82,87
8/2/82,105
8/3/82,105
8/4/82,235
8/5/82,164
8/6/82,46
8/7/82,177
8/8/82,84
8/9/82,122
8/10/82,150
8/11/82,31
8/12/82,126
8/13/82,90
8/14/82,126
8/15/82,159
8/16/82,182
8/17/82,101
8/18/82,71
8/19/82,151
8/20/82,115
8/21/82,40
8/22/82,71
8/23/82,49
8/24/82,112
8/25/82,58
8/26/82,84
8/27/82,44
8/28/82,50
8/29/82,39
8/30/82,43
8/31/82,140
9/1/82,32
9/2/82,112
9/3/82,48
9/4/82,37
9/5/82,112
9/6/82,190
9/7/82,36
9/8/82,37
9/9/82,93
9/10/82,133
9/11/82,161
9/12/82,216
9/13/82,217
9/14/82,212
9/15/82,213
9/16/82,47
9/17/82,34
9/18/82,80
9/19/82,44
9/20/82,37
9/21/82,35
9/22/82,24
9/23/82,31
9/24/82,46
9/25/82,90
9/26/82,45
9/27/82,42
9/28/82,47
9/29/82,31
9/30/82,19
10/1/82,80
10/2/82,28
10/3/82,179
10/4/82,126
10/5/82,84
10/6/82,172
10/7/82,74
10/8/82,108
10/9/82,37
10/10/82,39
10/11/82,44
10/12/82,35
10/13/82,22
10/14/82,58
10/15/82,23
10/16/82,21
10/17/82,23
10/18/82,36
10/19/82,31
10/20/82,30
10/21/82,22
10/22/82,49
10/23/82,38
10/24/82,32
10/25/82,31
10/26/82,32
10/27/82,31
10/28/82,35
10/29/82,54
10/30/82,47
10/31/82,31
11/1/82,42
11/2/82,48
11/3/82,31
11/4/82,25
11/5/82,18
11/6/82,20
11/7/82,31
11/8/82,36
11/9/82,29
11/10/82,28
11/11/82,39
11/12/82,39
11/13/82,27
11/14/82,28
11/15/82,25
11/16/82,28
11/17/82,27
11/18/82,12
11/19/82,17
11/20/82,20
